,head,variable,value,prob
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi1106,0.02
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi43,0.17
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi980,0.17
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi984,0.01
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi988,0.01
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi1422,0.01
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi561,0.03
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi818,0.03
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi55,0.05
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi848,0.01
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi1274,0.06
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi114,0.09
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi677,0.05
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi817,0.02
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi351,0.01
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi1284,0.01
224,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,concept_vocab_index,vi330,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi43,0.05
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi134,0.08
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi693,0.11
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1206,0.15
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi73,0.03
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi993,0.07
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi538,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1106,0.04
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1285,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1442,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi31,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi29,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi69,0.15
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1003,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi991,0.06
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi988,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi27,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi848,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1284,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1414,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi148,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi945,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi713,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi114,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1309,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1110,0.04
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1133,0.03
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi642,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi862,0.03
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi980,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi873,0.0
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1022,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi984,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1087,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi664,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi854,0.01
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi351,0.02
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1331,0.03
225,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi363,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1414,0.05
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi293,0.04
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1206,0.15
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi88,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi991,0.08
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi642,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi73,0.04
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1331,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1110,0.05
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi134,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi260,0.03
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi545,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi329,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi43,0.08
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1023,0.03
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi993,0.01
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi760,0.03
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1106,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1284,0.42
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi998,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi988,0.01
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi980,0.09
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1386,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1043,0.05
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1274,0.03
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi946,0.03
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1299,0.07
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi262,0.01
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi442,0.04
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi47,0.01
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi625,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi837,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1437,0.04
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi78,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi60,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi873,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi818,0.03
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1108,0.05
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi848,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi470,0.06
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi468,0.04
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1115,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1235,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1067,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1039,0.03
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1038,0.03
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi586,0.02
226,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi817,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi43,0.2
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi980,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi134,0.03
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi703,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1023,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi114,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi289,0.04
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1037,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi824,0.06
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi172,0.04
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi976,0.06
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1451,0.05
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi468,0.2
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi848,0.44
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi470,0.07
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi573,0.08
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1181,0.09
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi603,0.06
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi999,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi648,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi95,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi621,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1141,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi226,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi93,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi993,0.08
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi991,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1206,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi55,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1106,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi73,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi580,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi546,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1449,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi713,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1443,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi945,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi930,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi988,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi27,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi163,0.02
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1043,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1186,0.01
227,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1274,0.01
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi43,0.06
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi980,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi73,0.08
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1331,0.04
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi260,0.44
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi134,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi538,0.03
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi351,0.01
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1111,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi818,0.01
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi88,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1367,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1137,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi470,0.07
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi848,0.03
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1181,0.04
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi573,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi468,0.05
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi60,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi561,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi239,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi371,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi945,0.01
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1443,0.01
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi991,0.03
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi993,0.01
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi27,0.03
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi34,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1074,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi31,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi988,0.02
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi55,0.04
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi545,0.03
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi611,0.03
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi116,0.03
228,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1026,0.03
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi677,0.09
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi43,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi980,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1200,0.08
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1108,0.29
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1111,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi246,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi245,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi134,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi545,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi55,0.04
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi363,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1115,0.04
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1365,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi699,0.03
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1434,0.06
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1051,0.03
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi432,0.03
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi47,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi423,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi873,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1437,0.04
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1252,0.07
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi340,0.06
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi345,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi483,0.07
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi137,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi822,0.04
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi403,0.01
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi436,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi456,0.03
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi459,0.03
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1296,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1074,0.02
229,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi659,0.1
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi677,0.18
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi490,0.17
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi14,0.07
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi363,0.04
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1108,0.21
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi43,0.02
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1206,0.01
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi848,0.01
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1111,0.04
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi500,0.03
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1372,0.02
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1062,0.14
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1124,0.14
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi55,0.01
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi614,0.03
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1399,0.22
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi116,0.02
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi434,0.02
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi949,0.1
230,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi873,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi43,0.0
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi980,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi848,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi567,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi911,0.06
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi1434,0.22
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi925,0.02
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi873,0.02
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi246,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi403,0.03
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi1437,0.08
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi137,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi456,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi1164,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi800,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi134,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi912,0.02
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi570,0.02
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi770,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi131,0.03
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi984,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi163,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi363,0.02
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi1313,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi603,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi122,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi345,0.01
231,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi909,0.01
